year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,average
1980,"3,2","3,3","3,3","3,3","3,4","3,4","3,5","3,5","3,6","3,7","3,7","3,7","3,5"
1981,"3,7","3,8","3,8","3,8","3,9","3,9","4,0","4,1","4,2","4,2","4,3","4,3","4,0"
1982,"4,3","4,3","4,5","4,5","4,5","4,5","4,6","4,6","4,7","4,8","4,8","4,8","4,6"
1983,"4,8","5,0","5,0","5,0","5,1","5,1","5,2","5,2","5,2","5,3","5,4","5,4","5,1"
1984,"5,4","5,4","5,5","5,6","5,7","5,7","5,7","5,8","5,9","5,9","6,0","6,1","5,7"
1985,"6,1","6,3","6,3","6,5","6,6","6,7","6,7","6,8","6,8","6,9","7,0","7,2","6,7"
1986,"7,4","7,4","7,6","7,7","7,7","7,8","7,9","8,1","8,2","8,3","8,4","8,5","7,9"
1987,"8,6","8,7","8,8","9,0","9,0","9,1","9,2","9,3","9,5","9,6","9,7","9,7","9,2"
1988,"9,8","9,8","10,0","10,1","10,2","10,3","10,4","10,5","10,7","10,8","10,8","11,0","10,4"
1989,"11,1","11,2","11,4","11,6","11,8","11,8","11,9","12,1","12,2","12,3","12,5","12,7","11,9"
1990,"12,8","12,9","13,1","13,2","13,4","13,4","13,6","13,8","13,9","14,1","14,4","14,5","13,6"
1991,"14,7","14,9","14,9","15,2","15,4","15,5","15,7","15,9","16,1","16,4","16,6","16,8","15,7"
1992,"17,0","17,2","17,3","17,6","17,6","17,8","18,0","18,2","18,3","18,3","18,5","18,5","17,9"
1993,"18,7","18,7","19,0","19,4","19,5","19,6","19,8","19,9","20,0","20,1","20,1","20,2","19,6"
1994,"20,5","20,5","20,7","20,8","20,9","21,0","21,4","21,7","22,0","22,1","22,1","22,1","21,3"
1995,"22,5","22,6","22,9","23,1","23,2","23,2","23,3","23,4","23,4","23,4","23,6","23,7","23,2"
1996,"24,0","24,1","24,2","24,4","24,5","24,8","25,0","25,1","25,3","25,6","25,7","26,0","24,9"
1997,"26,2","26,4","26,5","26,8","26,9","27,0","27,2","27,2","27,4","27,5","27,4","27,5","27,0"
1998,"27,8","27,8","28,0","28,2","28,3","28,4","29,1","29,4","29,9","30,0","30,0","30,0","28,9"
1999,"30,2","30,2","30,2","30,3","30,3","30,4","30,4","30,3","30,4","30,5","30,6","30,7","30,4"
2000,"31,1","30,9","31,3","31,6","31,8","32,0","32,3","32,4","32,5","32,7","32,7","32,8","32,0"
2001,"33,3","33,3","33,5","33,7","33,8","34,0","34,0","33,9","34,0","34,0","34,2","34,3","33,8"
2002,"34,9","35,3","35,6","36,2","36,4","36,7","37,3","37,4","37,8","38,4","38,5","38,5","36,9"
2003,"38,9","38,9","39,3","39,4","39,3","39,2","39,2","39,3","39,2","38,9","38,7","38,7","39,1"
2004,"39,0","39,2","39,5","39,5","39,5","39,6","39,8","39,8","39,8","39,9","40,1","40,0","39,6"
2005,"40,2","40,2","40,6","40,8","40,8","40,7","41,1","41,3","41,5","41,5","41,5","41,5","41,0"
2006,"41,7","41,8","42,0","42,2","42,4","42,7","43,2","43,5","43,6","43,7","43,6","43,9","42,9"
2007,"44,2","44,2","44,6","45,1","45,4","45,8","46,2","46,4","46,8","47,2","47,4","47,8","45,9"
2008,"48,3","48,5","49,3","50,2","50,7","51,4","52,4","52,8","52,9","52,9","52,9","52,4","51,2"
2009,"52,6","53,1","53,8","54,1","54,3","54,6","55,1","55,3","55,5","55,5","55,5","55,7","54,6"
2010,"55,8","56,2","56,6","56,7","56,8","56,8","57,2","57,2","57,3","57,4","57,5","57,6","56,9"
2011,"57,9","58,2","58,9","59,1","59,4","59,7","60,2","60,3","60,6","60,8","61,0","61,1","59,8"
2012,"61,5","61,8","62,5","62,8","62,8","63,0","63,1","63,3","63,9","64,2","64,4","64,6","63,1"
2013,"64,8","65,4","66,2","66,4","66,2","66,4","67,1","67,3","67,7","67,8","67,9","68,1","66,8"
2014,"68,5","69,3","70,2","70,5","70,6","70,8","71,4","71,7","71,7","71,8","71,8","71,7","70,8"
2015,"71,5","72,0","73,0","73,7","73,9","74,2","75,0","75,0","75,0","75,2","75,2","75,4","74,1"
2016,"76,0","77,0","77,6","78,3","78,4","78,8","79,5","79,4","79,5","79,9","80,2","80,5","78,8"
2017,"81,0","81,9","82,4","82,4","82,7","82,9","83,1","83,2","83,6","83,8","83,9","84,3","82,9"
2018,"84,5","85,2","85,5","86,2","86,3","86,6","87,4","87,3","87,7","88,1","88,2","88,1","86,8"
2019,"87,9","88,6","89,4","89,9","90,2","90,5","90,8","91,1","91,3","91,3","91,4","91,6","90,3"
2020,"91,9","92,8","93,1","92,6","92,0","92,5","93,7","93,9","94,0","94,3","94,3","94,4","93,3"
2021,"94,8","95,4","96,1","96,7","96,8","97,0","98,1","98,5","98,7","99,0","99,4","100,0","97,5"
2022,"100,2","100,8","101,8","102,4","103,1","104,2","105,8","106,0",,,,,
